"adat_SINs" "RedCap_SINs"
"1" "STEP1346-F-V1-HT1" "STEP1346-V1-F-HT1"
"2" "STEP1056-F-V1-HT1" "STEP1056-V1-F-HT1"
"3" "STEP2332-F-V1-L-HT1" "STEP2332-V1-F-L-HT1"
"4" "STEP2562-F-V1-L-HT1" "STEP2562-V1-F-L-HT1"
"5" "STEP1103-F-V1-HT1" "STEP1103-V1-F-HT1"
"6" "STEP2166-F-V1-L-HT1" "STEP2166-V1-F-L-HT1"
"7" "STEP1182-F-V1-HT1" "STEP1182-V1-F-HT1"
"8" "STEP2390-F-V1-HT1" "STEP2390-V1-F-HT1"
"10" "STEP2689-F-V1-HT1" "STEP2689-V1-F-HT1"
"11" "STEP2140-F-V1-L-HT1" "STEP2140-V1-F-L-HT1"
"12" "STEP2694-F-V1-HT1" "STEP2694-V1-F-HT1"
"15" "STEP1716-F-V1-HT1" "STEP1716-V1-F-HT1"
"16" "STEP1877-F-V1-HT1-UN" "STEP1877-V1-F-HT1-UN"
"17" "STEP1634-F-V1-HT1" "STEP1634-V1-F-HT1"
"19" "STEP2431-F-V3-R-HT1" "STEP2431-V3-F-R-HT1"
"20" "STEP1460-F-V1-HT1" "STEP1460-V1-F-HT1"
"21" "STEP2314-F-V1-R-HT1" "STEP2314-V1-F-R-HT1"
"22" "STEP1684-F-V1-HT1" "STEP1684-V1-F-HT1"
"23" "STEP2061-F-V1-L-HT1" "STEP2061-V1-F-L-HT1"
"25" "STEP1034-F-V1-HT1" "STEP1034-V1-F-HT1"
"26" "STEP2134-F-V1-R-HT1" "STEP2134-V1-F-R-HT1"
"27" "STEP1640-F-V1-HT1" "STEP1640-V1-F-HT1"
"28" "STEP2442-F-V3-R-HT1" "STEP2442-V3-F-R-HT1"
"29" "STEP1060-F-V1-HT1" "STEP1060-V1-F-HT1"
"30" "STEP1734-F-V1-HT1" "STEP1734-V1-F-HT1"
"31" "STEP1319-F-V1-HT1" "STEP1319-V1-F-HT1"
"32" "STEP1673-F-V1-HT1" "STEP1673-V1-F-HT1"
"33" "STEP2077-F-V1-L-HT1" "STEP2077-V1-F-L-HT1"
"34" "STEP1931-F-V1-HT1" "STEP1931-V1-F-HT1"
"36" "STEP1310-F-V1-HT1" "STEP1310-V1-F-HT1"
"37" "STEP1163-F-V1-HT1" "STEP1163-V1-F-HT1"
"38" "STEP1669-F-V1-HT1" "STEP1669-V1-F-HT1"
"39" "STEP1728-F-V1-HT1" "STEP1728-V1-F-HT1"
"40" "STEP2497-F-V5-R-HT1" "STEP2497-V5-F-R-HT1"
"42" "STEP1632-F-V1-HT1" "STEP1632-V1-F-HT1"
"44" "STEP1710-F-V1-HT1" "STEP1710-V1-F-HT1"
"45" "STEP2233-F-V1-R-HT1" "STEP2233-V1-F-R-HT1"
"46" "STEP1863-F-V1-HT1" "STEP1863-V1-F-HT1"
"47" "STEP2223-F-V1-R-HT1" "STEP2223-V1-F-R-HT1"
"48" "STEP1537-F-V1-HT1" "STEP1537-V1-F-HT1"
"49" "STEP1006-F-V1-HT1" "STEP1006-V1-F-HT1"
"50" "STEP2649-F-V1-R-HT1" "STEP2649-V1-F-R-HT1"
"51" "STEP1827-F-V3-HT1" "STEP1827-V3-F-HT1"
"53" "STEP2409-F-V1-HT1" "STEP2409-V1-F-HT1"
"54" "STEP2428-F-V3-R-HT1" "STEP2428-V3-F-R-HT1"
"55" "STEP1421-F-V1-HT1" "STEP1421-V1-F-HT1"
"56" "STEP1304-F-V1-HT1" "STEP1304-V1-F-HT1"
"57" "STEP1475-F-V1-HT1" "STEP1475-V1-F-HT1"
"59" "STEP2488-F-V6-R-HT1" "STEP2488-V6-F-R-HT1"
"60" "STEP1760-F-V1-HT1" "STEP1760-V1-F-HT1"
"61" "STEP1143-F-V1-HT1" "STEP1143-V1-F-HT1"
"62" "STEP1717-F-V1-HT1" "STEP1717-V1-F-HT1"
"63" "STEP1732-F-V1-HT1" "STEP1732-V1-F-HT1"
"64" "STEP2078-F-V1-L-HT1" "STEP2078-V1-F-L-HT1"
"66" "STEP1894-F-V1-HT1-UN" "STEP1894-V1-F-HT1-UN"
"67" "STEP2252-F-V1-R-HT1" "STEP2252-V1-F-R-HT1"
"68" "STEP2565-F-V1-L-HT1" "STEP2565-V1-F-L-HT1"
"69" "STEP1786-F-V1-HT1" "STEP1786-V1-F-HT1"
"71" "STEP2427-F-V3-L-HT1" "STEP2427-V3-F-L-HT1"
"72" "STEP1335-F-V1-HT1" "STEP1335-V1-F-HT1"
"73" "STEP2527-F-V1-L-HT1" "STEP2527-V1-F-L-HT1"
"74" "STEP2497-F-V6-L-HT1" "STEP2497-V6-F-L-HT1"
"75" "STEP2498-F-V6-L-HT1" "STEP2498-V6-F-L-HT1"
"76" "STEP2065-F-V1-L-HT1" "STEP2065-V1-F-L-HT1"
