"","Correlation","Abundance"
"seq.10000.28",0.824508373923428,2499.90444708998
"seq.10001.7",0.917290792252507,1935.77015554899
"seq.10003.15",0.690192972281244,34683.8540292258
"seq.10006.25",0.645591709150518,16484.3442715222
"seq.10008.43",0.893301943554286,1445.96193743
"seq.10010.10",0.904233741902353,1269.86235629729
"seq.10011.65",0.855888693851559,7598.46836910204
"seq.10012.5",0.940803361513297,3908.56946246343
"seq.10013.34",0.912266368909123,1400.0502590598
"seq.10014.31",0.881789490440722,3624.32498736107
"seq.10015.119",0.916129602515031,2685.07968849314
"seq.10021.1",0.871042958480487,2860.74064485294
"seq.10022.207",0.717457811866784,765.07221969491
"seq.10023.32",0.899186603809018,1705.2025050989
"seq.10024.44",0.893930982174726,1958.06865515776
"seq.10025.1",0.718671836973955,68816.8550798982
"seq.10030.8",0.799406016992881,706.429714555461
"seq.10034.16",0.820072875027717,14420.3734681854
"seq.10035.6",0.933064790425838,1808.4486039265
"seq.10036.201",0.649024349652454,275613.859198684
"seq.10037.98",0.794008040148815,820.434974955313
"seq.10039.32",0.676998315171689,393629.441956272
"seq.10040.63",0.708520721178184,2498.10626115089
"seq.10041.3",0.409356346799615,937713.991380655
"seq.10042.8",0.200714027824277,110195.256272743
"seq.10043.31",0.894165324903606,2645.18655079404
"seq.10044.12",0.756962202628284,1264.28682470638
"seq.10045.47",0.783183901717945,2609.15663859393
"seq.10046.55",0.852336621519261,4291.75696419297
"seq.10047.12",0.635598504069157,133236.388149864
"seq.10048.7",0.839106498782173,11053.365187128
"seq.10049.112",0.940120810323829,1920.54809173783
"seq.10053.5",0.783219555463201,3537.45891505971
"seq.10054.3",0.863012396918359,1301.93254699155
"seq.10056.5",0.7297430105387,9675.45290460692
"seq.10058.1",0.640527335442078,118526.785240429
"seq.10063.10",0.870390887345471,2403.35141416149
"seq.10064.12",0.75817751680449,177591.520243644
"seq.10069.2",0.569993473857071,11747.8600946577
"seq.10070.22",0.877059127064669,2476.04961211425
"seq.10073.22",0.907485404801102,4863.86153072183
"seq.10074.128",0.889045874155434,2969.25632207249
"seq.10075.75",0.706396766351141,1702.8626714594
"seq.10076.1",0.915544477825633,3155.66663827329
"seq.10078.5",0.931299860613763,2612.37115139117
"seq.10080.9",0.600259321776976,2300.14967833808
"seq.10081.17",0.919500164869549,1538.8677321642
"seq.10082.251",0.855882366589349,63164.6524773974
"seq.10085.25",0.703403222611776,221583.338697157
"seq.10086.39",0.763823818707836,4641.67955507281
"seq.10087.10",0.881104302338047,1339.21619810859
"seq.10088.37",0.23426357362587,73979.8597845476
"seq.10089.7",0.470178636468607,8087.15334327479
"seq.10336.3",0.62624377620994,9329.8568616396
"seq.10339.48",0.456104592278756,30334.2300550039
"seq.10342.55",0.89022873175572,1426.01869682091
"seq.10344.334",0.743131762603568,11969.0156813331
"seq.10346.5",0.658854991149213,16620.1255872867
"seq.10351.51",0.747127115727101,4720.92322891984
"seq.10354.57",0.695411149863906,10830.9363675143
"seq.10356.21",0.906399713917568,2968.59750484797
