"","ProcessingOrder","TSG101","ProcessingBatch"
"1",1,2652.83176951496,"1"
"2",2,5201.59280487641,"1"
"3",3,9104.00099284683,"1"
"4",4,6192.93311270052,"1"
"5",5,2008.11721676741,"1"
"6",6,1691.01281265578,"1"
"7",7,9352.17617441753,"1"
"8",8,9600.55799345586,"1"
"9",9,20922.1196105743,"1"
"10",10,6689.36324754884,"1"
"11",11,13696.7447392502,"1"
"12",12,7574.14958891896,"1"
"13",13,13452.7294698692,"1"
"14",14,3209.26950649275,"1"
"15",15,6372.44557037698,"1"
"16",16,2771.5136400453,"1"
"17",17,1504.07908143082,"1"
"18",18,1922.13275998535,"1"
"19",19,2249.84143873873,"1"
"20",20,2843.10877605283,"1"
"21",21,5490.78235336826,"2"
"22",22,28414.4084602054,"2"
"23",23,1872.43437885641,"2"
"24",24,2763.10771339164,"2"
"25",25,3854.20566655454,"2"
"26",26,7167.7801551224,"2"
"27",27,4341.06151497659,"2"
"28",28,2514.67383670067,"2"
"29",29,5174.22350679329,"2"
"30",30,12974.1525377921,"2"
"31",31,1707.64425393204,"2"
"32",32,20829.0793447229,"2"
"33",33,10009.0413990111,"2"
"34",34,12792.9221158358,"2"
"35",35,5159.28445805473,"2"
"36",36,2282.9390341092,"2"
"37",37,2065.69555947937,"2"
"38",38,3310.4409977528,"2"
"39",39,3993.45164281892,"2"
"40",40,2200.099462061,"2"
"41",41,94217.7457419307,"3"
"42",42,89677.7893739054,"3"
"43",43,73388.7251758992,"3"
"44",44,91251.5069007183,"3"
"45",45,89028.9212508264,"3"
"46",46,90486.9446476605,"3"
"47",47,75581.5312586218,"3"
"48",48,82911.895541578,"3"
"49",49,84925.3002608346,"3"
"50",50,35981.0135017122,"3"
"51",51,96441.474310158,"3"
"52",53,88612.6757450592,"3"
"53",54,98962.8618422528,"3"
"54",55,83581.3466925385,"3"
"55",56,81554.8402455476,"3"
"56",57,83340.7608494172,"3"
"57",58,81753.1511650052,"3"
"58",59,92060.7749410429,"3"
"59",60,72440.5774287001,"3"
"60",61,18299.8344868337,"4"
"61",62,15090.4434334201,"4"
"62",63,20525.5066747089,"4"
"63",64,39648.4021744881,"4"
"64",65,7481.46268913635,"4"
"65",66,34275.9683264356,"4"
"66",67,4215.76245673323,"4"
"67",68,16323.1503181782,"4"
"68",69,15699.5589697018,"4"
"69",70,2239.21163797677,"4"
"70",71,7035.08532605233,"4"
"71",72,7447.84421009753,"4"
"72",73,10311.435520186,"4"
"73",74,4929.25027087693,"4"
"74",75,6830.50806228143,"4"
"75",76,3548.1136044634,"4"
"76",77,27656.0610402733,"4"
"77",78,13284.3519245471,"4"
"78",79,39315.28176616,"4"
"79",80,60018.7089281639,"4"
"80",81,96772.0777468543,"5"
"81",82,111955.925388038,"5"
"82",83,109063.415808133,"5"
"83",84,99698.8788429958,"5"
"84",85,79823.600937281,"5"
"85",86,95545.8503900925,"5"
"86",87,98180.3388357598,"5"
"87",88,74172.9245738357,"5"
"88",89,109897.255466798,"5"
"89",90,85961.6971804912,"5"
"90",91,87124.2693850873,"5"
"91",92,92000.3119724021,"5"
"92",93,86500.6043287766,"5"
"93",94,98346.7958909668,"5"
"94",95,88501.3479116183,"5"
"95",96,92599.1134396249,"5"
"96",97,92870.0332249387,"5"
"97",98,90034.3650435089,"5"
"98",99,116375.581476855,"5"
"99",100,6855.55670674041,"6"
"100",101,18413.5811611843,"6"
"101",102,28125.1246456243,"6"
"102",103,43261.3703789926,"6"
"103",104,39676.0121495884,"6"
"104",105,55404.6317062298,"6"
"105",106,39075.5242970247,"6"
"106",107,17440.7512352344,"6"
"107",108,78829.1745105198,"6"
"108",109,40879.4872170998,"6"
"109",110,39968.5850266927,"6"
"110",111,17263.87229693,"6"
"111",112,18624.1543597966,"6"
"112",113,29843.927789904,"6"
"113",114,16698.3788367019,"6"
"114",115,21124.5410436753,"6"
"115",116,48622.3535485798,"6"
