"","DiseaseGroup","NormalisationSteps","meanCV"
"Original.RFU","OA","1","0.1537"
"Hybridisation.Normalisation","OA","2","0.1649"
"Hybridisation.Normalisation..Plate.Scaling","OA","3","0.1407"
"Hybridisation.Normalisation..Plate.Scaling..Median.Normalsation.on.SF","OA","4","0.1211"
"Hybridisation.Normalisation..Plate.Scaling..Median.Normalsation.on.SF..Plate.Calibration","OA","5","0.1165"
"Hybridisation.Normalisation..Plate.Scaling..Plate.Calibration","OA","6","0.136"
"Original.RFU.1","injury","1","0.1663"
"Hybridisation.Normalisation.1","injury","2","0.1658"
"Hybridisation.Normalisation..Plate.Scaling.1","injury","3","0.1443"
"Hybridisation.Normalisation..Plate.Scaling..Median.Normalsation.on.SF.1","injury","4","0.1056"
"Hybridisation.Normalisation..Plate.Scaling..Median.Normalsation.on.SF..Plate.Calibration.1","injury","5","0.1061"
"Hybridisation.Normalisation..Plate.Scaling..Plate.Calibration.1","injury","6","0.1434"
