"","DiseaseGroup","NormalisationSteps","meanR2"
"Original.RFU","OA","1","0.859"
"Hybridisation.Normalisation","OA","2","0.8625"
"Hybridisation.Normalisation..Plate.Scaling","OA","3","0.8853"
"Hybridisation.Normalisation..Plate.Scaling..Median.Normalsation.on.SF","OA","4","0.777"
"Hybridisation.Normalisation..Plate.Scaling..Median.Normalsation.on.SF..Plate.Calibration","OA","5","0.7889"
"Hybridisation.Normalisation..Plate.Scaling..Plate.Calibration","OA","6","0.8898"
"Original.RFU.1","injury","1","0.8513"
"Hybridisation.Normalisation.1","injury","2","0.8653"
"Hybridisation.Normalisation..Plate.Scaling.1","injury","3","0.8879"
"Hybridisation.Normalisation..Plate.Scaling..Median.Normalsation.on.SF.1","injury","4","0.8259"
"Hybridisation.Normalisation..Plate.Scaling..Median.Normalsation.on.SF..Plate.Calibration.1","injury","5","0.8279"
"Hybridisation.Normalisation..Plate.Scaling..Plate.Calibration.1","injury","6","0.891"
