"","CorDatX","CorC","CorDatY"
"1","MCP1","1","0.946581"
"2","IL6","1","0.992995"
"3","IL8","1","0.998091"
"4","MMP3","1","0.835071"
"5","Activin A","1","0.971959"
"6","TSG6","1",NA
"7","TIMP1","1","0.812848"
"8","TGFb1","1","0.947648"
"9","FGF2","1","0.0572412"
"10","MCP1","2","0.965685"
"11","IL6","2","0.994063"
"12","IL8","2","0.998487"
"13","MMP3","2","0.802562"
"14","Activin A","2","0.982502"
"15","TSG6","2",NA
"16","TIMP1","2","0.903033"
"17","TGFb1","2","0.970019"
"18","FGF2","2","-0.028221"
"19","MCP1","3","0.91918"
"20","IL6","3","0.919138"
"21","IL8","3","0.945398"
"22","MMP3","3","0.714488"
"23","Activin A","3","0.958802"
"24","TSG6","3",NA
"25","TIMP1","3","0.918948"
"26","TGFb1","3","0.841781"
"27","FGF2","3","-0.0790687"
"28","MCP1","4","0.839336"
"29","IL6","4","-0.0109356"
"30","IL8","4","0.252205"
"31","MMP3","4","0.62291"
"32","Activin A","4","0.696583"
"33","TSG6","4",NA
"34","TIMP1","4","0.480848"
"35","TGFb1","4","0.485202"
"36","FGF2","4","-0.373714"
