"","CorDatX","CorC","CorDatY"
"1","MCP1","1","0.566663"
"2","IL6","1","0.993758"
"3","IL8","1","0.897887"
"4","MMP3","1","0.850677"
"5","Activin A","1","0.89386"
"6","TSG6","1","0.851289"
"7","TIMP1","1","0.654272"
"8","TGFb1","1","-0.0652455"
"9","FGF2","1","0.0116256"
"10","MCP1","2","0.755058"
"11","IL6","2","0.997911"
"12","IL8","2","0.952547"
"13","MMP3","2","0.857365"
"14","Activin A","2","0.902876"
"15","TSG6","2","0.915589"
"16","TIMP1","2","0.850279"
"17","TGFb1","2","-0.0678313"
"18","FGF2","2","-0.0816087"
"19","MCP1","3","0.811743"
"20","IL6","3","0.934506"
"21","IL8","3","0.791327"
"22","MMP3","3","0.862834"
"23","Activin A","3","0.919222"
"24","TSG6","3","0.823851"
"25","TIMP1","3","0.784934"
"26","TGFb1","3","-0.0872891"
"27","FGF2","3","-0.099112"
"28","MCP1","4","0.893376"
"29","IL6","4","0.775488"
"30","IL8","4","0.82128"
"31","MMP3","4","0.833828"
"32","Activin A","4","0.926858"
"33","TSG6","4","0.798774"
"34","TIMP1","4","0.727164"
"35","TGFb1","4","-0.181206"
"36","FGF2","4","-0.145506"
