"","Correlation","Abundance"
"seq.10000.28",-0.388408241593039,2.55579328447446
"seq.10001.7",-0.377848494301718,9.26934866993679
"seq.10003.15",-0.467854404339335,2017.34064232225
"seq.10006.25",-0.14980978499751,2065.02519236283
"seq.10008.43",-0.7152355296719,9.64747383506593
"seq.10010.10",-0.691406873213541,10.4761648851387
"seq.10011.65",-0.477443891207243,112.630114206127
"seq.10012.5",-0.339279530141112,3.39338604954636
"seq.10013.34",-0.622861313223043,5.98621035111619
"seq.10014.31",-0.633612449514619,28.4383304097966
"seq.10015.119",-0.248997227086144,1.45068126563335
"seq.10021.1",-0.373756851210751,4.41402572107352
"seq.10022.207",-0.470135362230368,18.2996774422459
"seq.10023.32",-0.469906135463257,5.29750035017484
"seq.10024.44",-0.367357863474824,2.98275444675551
"seq.10025.1",0.122337754223013,237.238245123351
"seq.10030.8",-0.522326207780368,16.776579859569
"seq.10034.16",-0.378937226241082,295.842650872945
"seq.10035.6",-0.79465127926688,21.1527585753644
"seq.10036.201",-0.314259377312739,13536.072757369
"seq.10037.98",-0.38735310053506,1.38099399167586
"seq.10039.32",0.398279036965781,0.705740071800184
"seq.10040.63",-0.456158384748518,45.3275496680413
"seq.10041.3",-0.118503041922162,69855.0684358417
"seq.10042.8",-0.143424278895749,6588.20319982776
"seq.10043.31",-0.601864209722121,6.12496201522886
"seq.10044.12",0.0432479467621455,0.11185482553506
"seq.10045.47",0.130897211420248,0.0409038156707544
"seq.10046.55",-0.485502241882033,22.9891058616564
"seq.10047.12",-0.40797134222842,949.652710168943
"seq.10048.7",-0.267144538686121,118.279266777614
"seq.10049.112",-0.725893415388388,8.55995990191265
"seq.10053.5",0.445996578785472,0.0120370859571253
"seq.10054.3",-0.546480511066746,13.555783628879
"seq.10056.5",0.669368523835752,2.76720179974659
"seq.10058.1",0.0370231401637777,16050.340335815
"seq.10063.10",-0.719196352924726,64.2402740273754
"seq.10064.12",-0.377249235605691,5280.36667921312
"seq.10069.2",-0.116719177383352,880.09963791379
"seq.10070.22",-0.203395091768606,0.235905466193467
"seq.10073.22",-0.0221456157770889,0.34417484760237
"seq.10074.128",-0.719280850420529,19.295588925364
"seq.10075.75",0.605338746577988,0.0588135269969325
"seq.10076.1",-0.621293438506244,4.40216944802547
"seq.10078.5",-0.726904876627579,37.4993816979009
"seq.10080.9",0.240266105176062,0.0330343670818704
"seq.10081.17",-0.630025283419502,5.75257243848269
"seq.10082.251",-0.0575715294697341,110.390179119736
"seq.10085.25",-0.224526580465926,3856.78726275335
"seq.10086.39",-0.44891531174731,75.0567642265556
"seq.10087.10",-0.692184250035717,10.3465336328557
"seq.10088.37",-0.123579536738292,1947.20165313766
"seq.10089.7",0.0264273246825722,791.781928339589
"seq.10336.3",0.602064153484717,1.42046698201038
"seq.10339.48",0.296790834576755,51.1728139879409
"seq.10342.55",-0.148314745383257,0.307878058652348
"seq.10344.334",-0.38548639275467,672.981372377534
"seq.10346.5",0.18790212991676,0.20518265306695
"seq.10351.51",-0.0923576918035086,12.6547359190825
"seq.10354.57",0.0320617364305359,5.34209743500714
"seq.10356.21",-0.557304355248057,10.7969767509848
"seq.10361.25",-0.283991630721753,4.78374926407882
"seq.10362.35",-0.566280518489519,7.10536717372523
"seq.10363.13",0.232210193176642,1.25530003997456
"seq.10364.6",0.328789610593071,0.165690100641748
"seq.10365.132",-0.348246965572055,22.0709231049971
"seq.10366.11",-0.0487249439461614,276.719659115618
"seq.10367.62",-0.542070715457106,11.07819516624
"seq.10370.21",-0.168064674517,0.0151976351911771
"seq.10372.18",0.0745557992584744,3.1999015846331
"seq.10379.19",-0.225707353123298,36.3794111321982
"seq.10382.1",-0.139115538169318,45975.6512722941
"seq.10390.21",0.146514848129077,0.74547651590761
"seq.10391.1",-0.249047706691816,226659.297229554
"seq.10396.6",-0.030915367824157,87865.1694194689
"seq.10398.110",-0.782012020524073,34.472173904504
"seq.10416.79",-0.684428653176591,36.8810200079728
"seq.10418.36",0.104476978361681,350168.021110168
"seq.10419.1",-0.0928562535030282,4173.10779993559
"seq.10420.30",0.413894551868878,1.0238191779218
"seq.10424.31",-0.32223064951409,266.478259747786
"seq.10425.3",-0.534004669639843,17.0858399974266
"seq.10426.21",-0.0956971447121661,3.56842390187804
"seq.10427.2",-0.334432192885011,163.882761482298
"seq.10428.1",-0.151108310849597,190.44341131807
"seq.10430.31",-0.406576020165318,3.96601079856068
"seq.10432.3",-0.652541875222063,14.4477103559313
"seq.10435.2",-0.527091357782362,72.9425883955413
"seq.10438.19",-0.229168501300596,9965.55007060608
"seq.10439.57",-0.166991657270328,464.440182795165
"seq.10440.26",0.0529705264089768,862.185191943171
"seq.10442.1",-0.305922285393548,101.163592587305
"seq.10445.20",-0.299545507368489,349373.02940269
"seq.10447.18",0.430059517318672,0.515316099472377
"seq.10449.31",-0.396481684875755,9.21771300424576
"seq.10451.11",-0.14269319318446,2310.41302628056
"seq.10452.24",-0.714611152084403,7.63608161568137
"seq.10453.7",-0.3545578004094,3.84203380753914
"seq.10454.99",-0.311951506484526,1.00261772643487
"seq.10455.196",-0.309863202319977,161.58486089467
"seq.10457.3",-0.410519250124957,10.7284649091381
"seq.10460.1",-0.0797270506708668,6.16111275279215
"seq.10461.57",0.0160147225115084,212918.964292319
"seq.10462.14",-0.508763423804946,16.133300048588
"seq.10463.23",-0.618046586048618,53.3907363060864
"seq.10464.6",-0.373333631625609,36.7832577787215
"seq.10467.58",-0.418526008674005,46.584252701141
"seq.10470.34",-0.102749937639667,7.5821005200576
"seq.10471.25",-0.39845707226154,3.51090434870726
"seq.10472.53",-0.414431575460739,37.0267772888673
"seq.10473.2",-0.404943122578834,15.5585368628192
"seq.10476.23",-0.062301259114471,7207.07160153479
"seq.10477.162",-0.0942906238734439,3.89218037056664
"seq.10479.18",-0.236808892872836,133.31723237929
"seq.10480.33",-0.357423978833903,71.0033496027116
