"","CorDatX","CorC","CorDatY"
"1","MCP1","1","0.566663"
"2","IL6","1","0.993758"
"3","IL8","1","0.897887"
"4","MMP3","1","0.850677"
"5","Activin A","1","0.89386"
"6","TSG6","1","0.851289"
"7","TIMP1","1","0.654272"
"8","TGFb1","1","-0.0652455"
"9","FGF2","1","0.0116256"
"10","MCP1","2","0.564017"
"11","IL6","2","0.992738"
"12","IL8","2","0.90727"
"13","MMP3","2","0.861851"
"14","Activin A","2","0.885877"
"15","TSG6","2","0.851821"
"16","TIMP1","2","0.655787"
"17","TGFb1","2","-0.0683451"
"18","FGF2","2","-0.0502891"
"19","MCP1","3","0.685094"
"20","IL6","3","0.997848"
"21","IL8","3","0.952601"
"22","MMP3","3","0.845895"
"23","Activin A","3","0.907774"
"24","TSG6","3","0.90314"
"25","TIMP1","3","0.816272"
"26","TGFb1","3","-0.0729341"
"27","FGF2","3","-0.0811772"
"28","MCP1","4","0.830388"
"29","IL6","4","0.994846"
"30","IL8","4","0.962594"
"31","MMP3","4","0.834833"
"32","Activin A","4","0.920404"
"33","TSG6","4","0.863315"
"34","TIMP1","4","0.616793"
"35","TGFb1","4","-0.0499922"
"36","FGF2","4","-0.217418"
"37","MCP1","5","0.867653"
"38","IL6","5","0.99525"
"39","IL8","5","0.962827"
"40","MMP3","5","0.844868"
"41","Activin A","5","0.918118"
"42","TSG6","5","0.875698"
"43","TIMP1","5","0.642215"
"44","TGFb1","5","-0.0373439"
"45","FGF2","5","-0.218491"
"46","MCP1","6","0.755058"
"47","IL6","6","0.997911"
"48","IL8","6","0.952547"
"49","MMP3","6","0.857365"
"50","Activin A","6","0.902876"
"51","TSG6","6","0.915589"
"52","TIMP1","6","0.850279"
"53","TGFb1","6","-0.0678313"
"54","FGF2","6","-0.0816087"
